Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,Average Total,Average (Bitcoin Excluded),,,
1/8/2021,0.0086,0.0289,0.0132,0.0061,0.0097,0.0133,0.0094,,,
1/7/2021,0.0341,0.0725,0.0299,0.0285,0.0116,0.03532,0.026025,,,
1/6/2021,-0.0337,0.0824,-0.0099,-0.0259,0.0094,0.00446,-0.015025,,,
1/5/2021,0.0124,0.0615,0.0081,0.001,0.0108,0.01876,0.008075,,,
1/4/2021,-0.0247,-0.0284,-0.0151,-0.0213,0.015,-0.0149,-0.011525,,,
12/31/2020,-0.0077,0.0028,0.0094,0.0033,0.0058,0.00272,0.0027,,,
12/30/2020,-0.0085,0.0545,-0.0122,-0.011,-0.0018,0.0042,-0.008375,,,
12/29/2020,-0.0133,0.0118,-0.0091,-0.0036,0.0075,-0.00134,-0.004625,,,
12/28/2020,0.0358,0.0303,0.023,0.0099,0.0064,0.02108,0.018775,,,
12/24/2020,0.0077,0.0206,0.0034,0.0078,-0.0105,0.0058,0.0021,,,
12/23/2020,-0.007,-0.0237,0.0047,-0.013,-0.0042,-0.00864,-0.004875,,,
12/22/2020,0.0285,0.0482,-0.0083,0.0061,0.0022,0.01534,0.007125,,,
12/21/2020,0.0124,-0.0318,0.0048,0.0183,0.0128,0.0033,0.012075,,,
12/18/2020,-0.0159,0.0133,-0.0082,-0.0038,0.0149,0.00006,-0.00325,,,
12/17/2020,0.007,0.069,-0.0095,0.0006,-0.0143,0.01056,-0.00405,,,
12/16/2020,-0.0005,0.0987,-0.0022,0.0241,0.0111,0.02624,0.008125,,,
12/15/2020,0.0501,0.0084,0.005,-0.0003,-0.0083,0.01098,0.011625,,,
12/14/2020,-0.0051,0.0051,-0.0127,0.0044,0.0173,0.0018,0.000975,,,
12/11/2020,-0.0067,-0.0123,0.004,0.013,0.0146,0.00252,0.006225,,,
12/10/2020,0.012,-0.0161,-0.0057,-0.006,-0.0079,-0.00474,-0.0019,,,
12/9/2020,-0.0209,0.012,-0.0185,-0.0195,0.0096,-0.00746,-0.012325,,,
12/8/2020,0.0051,-0.044,-0.0031,0.008,-0.0007,-0.00694,0.002325,,,
12/7/2020,0.0123,-0.0108,-0.0037,-0.0003,0.0083,0.00116,0.00415,,,
12/4/2020,-0.0056,-0.0399,0.0011,0.0006,0.0017,-0.00842,-0.00055,,,
12/3/2020,-0.0011,0.0112,-0.0017,-0.0052,0.0054,0.00172,-0.00065,,,
